,Start,Mean,Std,Skew,Kurt,Sharpe Ratio,ASSET_CLASS,FUTURES
0,1987-01-14,0.0086,0.1152,-0.5277,9.2342,0.0744,CURNCY,AUDUSD Crncy Fut  Dec14
5,1986-04-07,0.0053,0.0737,-0.0055,6.3331,0.072,CURNCY,C$ CURRENCY FUT   Dec14
36,1986-04-07,0.028,0.1151,1.4405,38.3559,0.243,CURNCY,CHF CURRENCY FUT  Dec14
9,1998-05-20,0.0072,0.0946,0.0177,1.7005,0.0757,CURNCY,EURO FX CURR FUT  Dec14
31,1999-01-12,0.0138,0.0773,0.2439,11.2569,0.1782,CURNCY,EURO/GBP FUTURE   Dec14
33,1999-01-12,0.0075,0.1185,-0.3433,13.6046,0.0631,CURNCY,EURO/JPY FUTURE   Dec14
22,1986-05-23,0.0188,0.1075,0.5893,7.0915,0.1749,CURNCY,JPN YEN CURR FUT  Dec14
46,1988-12-08,0.0637,0.2139,-0.0106,4.7805,0.2976,INDEX,CAC40 10 EURO FUT Apr15
15,1990-11-26,0.0925,0.2193,0.0678,6.8453,0.4217,INDEX,DAX INDEX FUTURE  Dec14
55,1998-06-23,0.0288,0.2348,0.1056,5.366,0.1228,INDEX,EURO STOXX 50     Jun15
47,1988-02-29,0.058,0.1745,-0.0347,5.5364,0.3325,INDEX,FTSE 100 IDX FUT  Jun15
58,2006-09-06,0.1122,0.3071,0.9364,19.0241,0.3653,INDEX,FTSE CHINA A50    Mar15
49,2004-03-23,0.0179,0.2286,-0.1164,5.9722,0.0783,INDEX,FTSE/MIB IDX FUT  Jun15
16,2003-12-09,0.0996,0.2971,0.2369,6.6819,0.3354,INDEX,H-SHARES IDX FUT  Oct14
18,1992-04-02,0.0935,0.2665,0.4815,12.2594,0.3508,INDEX,HANG SENG IDX FUT Oct14
52,1992-07-22,0.0736,0.2274,-0.0301,5.8817,0.3235,INDEX,IBEX 35 INDX FUTR Apr15
38,1997-01-22,0.0509,0.2675,0.0426,6.5709,0.1902,INDEX,MSCI TAIWAN INDEX Oct14
28,1999-06-22,0.0951,0.2747,1.7588,37.6578,0.3461,INDEX,NASDAQ 100 E-MINI Dec14
27,1988-09-06,0.0173,0.2317,0.0529,9.9711,0.0749,INDEX,NIKKEI 225  (OSE) Dec14
54,2007-08-20,0.0764,0.2489,-0.2459,7.0336,0.3067,INDEX,Russell 2000 Mini Jun15
12,1997-09-10,0.0682,0.1896,0.0549,11.1933,0.3597,INDEX,S&P500 EMINI FUT  Dec14
59,2000-05-03,0.0456,0.1548,-0.2726,5.1848,0.2949,INDEX,SPI 200 FUTURES   Jun15
56,1990-05-17,0.009,0.2233,0.1164,9.6684,0.0401,INDEX,TOPIX INDX FUTR   Jun15
